recorded_at,type,value
2026-09-15T00:00:00.000Z,temperature,20.0
2026-09-15T00:00:00.000Z,humidity,85.0
2026-09-15T00:00:00.000Z,soil_moisture,45.0
2026-09-15T00:00:00.000Z,ph,6.50
2026-09-15T00:00:00.000Z,light,0
2026-09-15T00:30:00.000Z,temperature,20.9
2026-09-15T00:30:00.000Z,humidity,84.9
2026-09-15T00:30:00.000Z,soil_moisture,44.5
2026-09-15T00:30:00.000Z,ph,6.53
2026-09-15T00:30:00.000Z,light,0
2026-09-15T01:00:00.000Z,temperature,21.1
2026-09-15T01:00:00.000Z,humidity,84.5
2026-09-15T01:00:00.000Z,soil_moisture,44.1
2026-09-15T01:00:00.000Z,ph,6.57
2026-09-15T01:00:00.000Z,light,0
2026-09-15T01:30:00.000Z,temperature,20.6
2026-09-15T01:30:00.000Z,humidity,83.9
2026-09-15T01:30:00.000Z,soil_moisture,43.6
2026-09-15T01:30:00.000Z,ph,6.60
2026-09-15T01:30:00.000Z,light,0
2026-09-15T02:00:00.000Z,temperature,20.0
2026-09-15T02:00:00.000Z,humidity,83.0
2026-09-15T02:00:00.000Z,soil_moisture,43.2
2026-09-15T02:00:00.000Z,ph,6.62
2026-09-15T02:00:00.000Z,light,0
2026-09-15T02:30:00.000Z,temperature,20.2
2026-09-15T02:30:00.000Z,humidity,81.9
2026-09-15T02:30:00.000Z,soil_moisture,42.8
2026-09-15T02:30:00.000Z,ph,6.65
2026-09-15T02:30:00.000Z,light,0
2026-09-15T03:00:00.000Z,temperature,21.5
2026-09-15T03:00:00.000Z,humidity,80.6
2026-09-15T03:00:00.000Z,soil_moisture,42.3
2026-09-15T03:00:00.000Z,ph,6.67
2026-09-15T03:00:00.000Z,light,0
2026-09-15T03:30:00.000Z,temperature,23.0
2026-09-15T03:30:00.000Z,humidity,79.1
2026-09-15T03:30:00.000Z,soil_moisture,41.9
2026-09-15T03:30:00.000Z,ph,6.68
2026-09-15T03:30:00.000Z,light,0
2026-09-15T04:00:00.000Z,temperature,24.0
2026-09-15T04:00:00.000Z,humidity,77.5
2026-09-15T04:00:00.000Z,soil_moisture,41.4
2026-09-15T04:00:00.000Z,ph,6.69
2026-09-15T04:00:00.000Z,light,0
2026-09-15T04:30:00.000Z,temperature,24.1
2026-09-15T04:30:00.000Z,humidity,75.7
2026-09-15T04:30:00.000Z,soil_moisture,41.0
2026-09-15T04:30:00.000Z,ph,6.70
2026-09-15T04:30:00.000Z,light,0
2026-09-15T05:00:00.000Z,temperature,23.9
2026-09-15T05:00:00.000Z,humidity,73.9
